,time,Discharge,Rainfall
11034,2014-01-02,937.0,7.82
11035,2014-01-03,1070.0,8.19
11036,2014-01-04,1170.0,8.42
11037,2014-01-05,1340.0,8.74
11038,2014-01-06,1420.0,8.88
11039,2014-01-07,1450.0,8.92
11040,2014-01-08,1470.0,8.97
11041,2014-01-09,1510.0,9.03
11042,2014-01-10,1530.0,9.07
11043,2014-01-11,1590.0,9.15
11044,2014-01-12,1620.0,9.2
11045,2014-01-13,1610.0,9.18
11046,2014-01-14,1620.0,9.2
11047,2014-01-15,1630.0,9.21
11048,2014-01-16,1620.0,9.19
11049,2014-01-17,1590.0,9.15
11050,2014-01-18,1570.0,9.13
11051,2014-01-19,1570.0,9.13
11052,2014-01-20,1580.0,9.14
11053,2014-01-21,1570.0,9.13
11054,2014-01-22,1550.0,9.1
11055,2014-01-23,1510.0,9.03
11056,2014-01-24,1450.0,8.93
11057,2014-01-25,1380.0,8.81
11058,2014-01-26,1300.0,8.67
11059,2014-01-27,1210.0,8.51
11060,2014-01-28,1130.0,8.34
11061,2014-01-29,1060.0,8.18
11062,2014-01-30,997.0,8.0
11063,2014-01-31,932.0,7.8
11064,2014-02-01,881.0,7.62
11065,2014-02-02,838.0,7.46
11066,2014-02-03,804.0,7.33
11067,2014-02-04,773.0,7.18
11068,2014-02-05,747.0,7.05
11069,2014-02-06,735.0,6.99
11070,2014-02-07,723.0,6.93
11071,2014-02-08,719.0,6.91
11072,2014-02-09,719.0,6.91
11073,2014-02-10,717.0,6.9
11074,2014-02-11,735.0,6.99
11075,2014-02-12,940.0,7.83
11076,2014-02-13,1200.0,8.49
11077,2014-02-14,1220.0,8.53
11078,2014-02-15,1350.0,8.76
11079,2014-02-16,1490.0,9.0
11080,2014-02-17,1700.0,9.31
11081,2014-02-18,1920.0,9.6
11082,2014-02-19,2090.0,9.77
11083,2014-02-20,2130.0,9.81
11084,2014-02-21,2170.0,9.86
11085,2014-02-22,2180.0,9.87
11086,2014-02-23,2170.0,9.86
11087,2014-02-24,2160.0,9.84
11088,2014-02-25,2160.0,9.84
11089,2014-02-26,2180.0,9.87
11090,2014-02-27,2190.0,9.88
11091,2014-02-28,2180.0,9.87
11092,2014-03-01,2160.0,9.84
11093,2014-03-02,2100.0,9.78
11094,2014-03-03,2020.0,9.7
11095,2014-03-04,1920.0,9.6
11096,2014-03-05,1820.0,9.47
11097,2014-03-06,1780.0,9.42
11098,2014-03-07,2180.0,9.87
11099,2014-03-08,2200.0,9.89
11100,2014-03-09,2120.0,9.8
11101,2014-03-10,2020.0,9.7
11102,2014-03-11,2090.0,9.77
11103,2014-03-12,2220.0,9.91
11104,2014-03-13,2270.0,9.96
11105,2014-03-14,2270.0,9.96
11106,2014-03-15,2230.0,9.92
11107,2014-03-16,2170.0,9.85
11108,2014-03-17,2170.0,9.86
11109,2014-03-18,2180.0,9.87
11110,2014-03-19,2170.0,9.85
11111,2014-03-20,2120.0,9.8
11112,2014-03-21,2070.0,9.75
11113,2014-03-22,2400.0,10.07
11114,2014-03-23,2560.0,10.2
11115,2014-03-24,2560.0,10.2
11116,2014-03-25,2460.0,10.12
11117,2014-03-26,2330.0,10.01
11118,2014-03-27,2170.0,9.85
11119,2014-03-28,2010.0,9.69
11120,2014-03-29,2690.0,10.3
11121,2014-03-30,2720.0,10.33
11122,2014-03-31,2660.0,10.28
11123,2014-04-01,2520.0,10.17
11124,2014-04-02,2410.0,10.08
11125,2014-04-03,2450.0,10.11
11126,2014-04-04,2460.0,10.12
11127,2014-04-05,2440.0,10.1
11128,2014-04-06,2370.0,10.04
11129,2014-04-07,2250.0,9.94
11130,2014-04-08,2170.0,9.86
11131,2014-04-09,2100.0,9.78
11132,2014-04-10,2010.0,9.69
11133,2014-04-11,1910.0,9.59
11134,2014-04-12,1830.0,9.48
11135,2014-04-13,1740.0,9.37
11136,2014-04-14,1660.0,9.26
11137,2014-04-15,1590.0,9.15
11138,2014-04-16,1550.0,9.09
11139,2014-04-17,1470.0,8.97
11140,2014-04-18,1370.0,8.81
11141,2014-04-19,1490.0,9.01
11142,2014-04-20,1500.0,9.02
11143,2014-04-21,1480.0,9.0
11144,2014-04-22,1430.0,8.91
11145,2014-04-23,1450.0,8.94
11146,2014-04-24,1530.0,9.08
11147,2014-04-25,1620.0,9.2
11148,2014-04-26,1640.0,9.25
11149,2014-04-27,1650.0,9.26
11150,2014-04-28,1650.0,9.26
11151,2014-04-29,1640.0,9.24
11152,2014-04-30,1650.0,9.26
11153,2014-05-01,1660.0,9.27
11154,2014-05-02,1640.0,9.25
11155,2014-05-03,1620.0,9.22
11156,2014-05-04,1570.0,9.15
11157,2014-05-05,1510.0,9.05
11158,2014-05-06,1440.0,8.94
11159,2014-05-07,1370.0,8.82
11160,2014-05-08,1290.0,8.7
11161,2014-05-09,1230.0,8.58
11162,2014-05-10,1160.0,8.45
11163,2014-05-11,1080.0,8.26
11164,2014-05-12,1030.0,8.13
11165,2014-05-13,943.0,7.88
11166,2014-05-14,841.0,7.51
11167,2014-05-15,745.0,7.08
11168,2014-05-16,719.0,6.96
11169,2014-05-17,686.0,6.79
11170,2014-05-18,609.0,6.3
11171,2014-05-19,541.0,5.84
11172,2014-05-20,485.0,5.45
11173,2014-05-21,445.0,5.16
11174,2014-05-22,419.0,4.96
11175,2014-05-23,398.0,4.8
11176,2014-05-24,376.0,4.63
11177,2014-05-25,347.0,4.4
11178,2014-05-26,308.0,4.08
11179,2014-05-27,277.0,3.81
11180,2014-05-28,245.0,3.53
11181,2014-05-29,229.0,3.38
11182,2014-05-30,274.0,3.79
11183,2014-05-31,272.0,3.77
11184,2014-06-01,281.0,3.85
11185,2014-06-02,296.0,3.98
11186,2014-06-03,299.0,4.0
11187,2014-06-04,299.0,4.0
11188,2014-06-05,307.0,4.07
11189,2014-06-06,337.0,4.32
11190,2014-06-07,341.0,4.35
11191,2014-06-08,328.0,4.25
11192,2014-06-09,297.0,3.99
11193,2014-06-10,280.0,3.84
11194,2014-06-11,251.0,3.58
11195,2014-06-12,237.0,3.45
11196,2014-06-13,233.0,3.42
11197,2014-06-14,220.0,3.29
11198,2014-06-15,197.0,3.07
11199,2014-06-16,172.0,2.81
11200,2014-06-17,150.0,2.58
11201,2014-06-18,129.0,2.34
11202,2014-06-19,114.0,2.16
11203,2014-06-20,103.0,2.03
11204,2014-06-21,92.0,1.89
11205,2014-06-22,95.9,1.94
11206,2014-06-23,88.2,1.84
11207,2014-06-24,107.0,2.08
11208,2014-06-25,123.0,2.27
11209,2014-06-26,125.0,2.3
11210,2014-06-27,246.0,3.54
11211,2014-06-28,285.0,3.88
11212,2014-06-29,235.0,3.43
11213,2014-06-30,213.0,3.23
11214,2014-07-01,220.0,3.29
11215,2014-07-02,220.0,3.29
11216,2014-07-03,235.0,3.43
11217,2014-07-04,269.0,3.74
11218,2014-07-05,266.0,3.72
11219,2014-07-06,261.0,3.67
11220,2014-07-07,261.0,3.67
11221,2014-07-08,252.0,3.59
11222,2014-07-09,225.0,3.34
11223,2014-07-10,221.0,3.3
11224,2014-07-11,321.0,4.19
11225,2014-07-12,322.0,4.2
11226,2014-07-13,309.0,4.09
11227,2014-07-14,306.0,4.06
11228,2014-07-15,293.0,3.95
11229,2014-07-16,292.0,3.94
11230,2014-07-17,314.0,4.13
11231,2014-07-18,353.0,4.45
11232,2014-07-19,383.0,4.69
11233,2014-07-20,399.0,4.81
11234,2014-07-21,676.0,6.73
11235,2014-07-22,920.0,7.81
11236,2014-07-23,918.0,7.8
11237,2014-07-24,890.0,7.7
11238,2014-07-25,1280.0,8.68
11239,2014-07-26,1630.0,9.25
11240,2014-07-27,1770.0,9.45
11241,2014-07-28,1800.0,9.48
11242,2014-07-29,1790.0,9.47
11243,2014-07-30,1730.0,9.39
11244,2014-07-31,1640.0,9.27
11245,2014-08-01,1740.0,9.4
11246,2014-08-02,2020.0,9.74
11247,2014-08-03,2390.0,10.09
11248,2014-08-04,2570.0,10.24
11249,2014-08-05,2700.0,10.34
11250,2014-08-06,2890.0,10.48
11251,2014-08-07,3100.0,10.63
11252,2014-08-08,3230.0,10.72
11253,2014-08-09,3340.0,10.79
11254,2014-08-10,3790.0,11.07
11255,2014-08-11,4200.0,11.3
11256,2014-08-12,4200.0,11.3
11257,2014-08-13,3790.0,11.07
11258,2014-08-14,3760.0,11.05
11259,2014-08-15,3790.0,11.07
11260,2014-08-16,3860.0,11.11
11261,2014-08-17,3860.0,11.11
11262,2014-08-18,3760.0,11.05
11263,2014-08-19,3590.0,10.95
11264,2014-08-20,3400.0,10.83
11265,2014-08-21,3210.0,10.71
11266,2014-08-22,3070.0,10.61
11267,2014-08-23,2910.0,10.5
11268,2014-08-24,2930.0,10.51
11269,2014-08-25,2690.0,10.33
11270,2014-08-26,2410.0,10.11
11271,2014-08-27,2170.0,9.89
11272,2014-08-28,1970.0,9.69
11273,2014-08-29,1800.0,9.49
11274,2014-08-30,1650.0,9.28
11275,2014-08-31,1510.0,9.07
11276,2014-09-01,1380.0,8.86
11277,2014-09-02,1240.0,8.61
11278,2014-09-03,1110.0,8.35
11279,2014-09-04,994.0,8.04
11280,2014-09-05,881.0,7.67
11281,2014-09-06,806.0,7.39
11282,2014-09-07,779.0,7.26
11283,2014-09-08,1060.0,8.21
11284,2014-09-09,1100.0,8.33
11285,2014-09-10,1140.0,8.42
11286,2014-09-11,1180.0,8.5
11287,2014-09-12,1320.0,8.76
11288,2014-09-13,1520.0,9.09
11289,2014-09-14,1580.0,9.18
